"area","topic","period","section","text_en","text_zh"
"China","Agency","Pre1900","Christian or Pro-Christian Leaders",NA,NA
"China","Agency","Pre1900","Christian or Pro-Christian Organizations",NA,NA
"China","Agency","Pre1900","Christian or Pro-Christian Events/Movements",NA,NA
"China","Agency","Pre1900","Key theological, doctrinal, or ecclesiastic issues in this decade, if any",NA,NA
"China","Agency","Pre1900","Anti-Christian Leaders (including competitors from secularisms and other religions who argued or campaigned against Christianity)",NA,NA
"China","Agency","Pre1900","Anti-Christian Organizations (including competing organizations of secularisms and other religions that campaigned against Christianity)",NA,NA
"China","Agency","Pre1900","Anti-Christian Events/Movements (including competing events/movements against Christianity)",NA,NA
"China","Agency","Pre1900","Bibliography",NA,NA
"China","Context","Pre1900","Governmental Regulations on Religion and Legal Cases",NA,NA
"China","Context","Pre1900","Social Hostility toward Christianity",NA,NA
"China","Context","Pre1900","Geopolitical dynamics and International Relationships",NA,NA
"China","Context","Pre1900","Bibliography",NA,NA
